Name,Location,Latitude,Longitude,CI_cyano(CyAN),CI_cyano(S3),CI_cyano(PACE)
pin_1,Lake Erie,41.783839,-83.39573,0.002688101,0.00253656,0.001998792
pin_2,Lake Erie,41.796905,-83.369599,0.002166374,0.001811133,0.001264921
pin_3,Lake Erie,41.836102,-83.317336,0.00165422,0.001659657,0.001240499
pin_4,Lake Erie,41.823036,-83.382664,0.00165422,0.001293895,8.79E-04
pin_5,Lake Erie,41.849168,-83.343467,5.33E-04,2.29E-04,9.17E-04
pin_6,Lake Erie,41.796905,-83.408795,5.62E-04,0.002203799,0.001876963
pin_7,Lake Erie,41.744643,-83.39573,0.002837092,0.002414974,0.002306223
pin_8,Lake Erie,41.770774,-83.369599,0.004998818,0.00447753,0.005007081
pin_9,Lake Erie,41.796905,-83.343467,0.003520346,0.003500838,0.001938759
pin_10,Lake Erie,41.744643,-83.382664,0.003076206,0.002611626,0.003126263
pin_11,Lake Erie,41.757708,-83.356533,0.00486579,0.003713305,0.004936326
pin_12,Lake Erie,41.770774,-83.330402,0.010079325,0.008025368,0.006141408
pin_13,Lake Erie,41.770774,-83.30427,0.015105719,0.01441069,0.006092908
pin_14,Lake Erie,41.796905,-83.291205,0.004736301,0.003807388,0.002204927
pin_15,Lake Erie,41.809971,-83.265073,0.001164961,0.001539246,6.81E-04
pin_16,Lake Erie,41.731577,-83.356533,0.016826641,0.015372125,0.007270164
pin_17,Lake Erie,41.744643,-83.330402,0.006909321,0.005890544,0.008434254
pin_18,Lake Erie,41.744643,-83.30427,0.009048475,0.008111654,0.024599141
pin_19,Lake Erie,41.770774,-83.291205,0.010079325,0.008718825,0.010180209
pin_20,Lake Erie,41.783839,-83.265073,0.011849921,0.009524418,0.011622338
pin_21,Lake Erie,41.796905,-83.238942,0.007906886,0.005983232,0.004939432
pin_22,Lake Erie,41.718511,-83.317336,0.010354889,0.008574112,0.006639363
pin_23,Lake Erie,41.731577,-83.291205,0.021449808,0.019333664,0.025029365
pin_24,Lake Erie,41.744643,-83.278139,0.029647728,0.027133662,0.033094108
pin_25,Lake Erie,41.757708,-83.265073,0.031290997,0.061000001,0.022068283
pin_26,Lake Erie,41.770774,-83.252008,0.020878987,0.02365897,0.022905936
pin_27,Lake Erie,41.770774,-83.225877,0.022638693,0.029446179,0.020699514
pin_28,Lake Erie,41.783839,-83.199745,0.009048475,0.007505309,0.010064544
pin_29,Lake Erie,41.705446,-83.291205,0.032146476,0.024670335,0.036533106
pin_30,Lake Erie,41.718511,-83.265073,0.036787763,0.03681343,0.04732037
pin_31,Lake Erie,41.731577,-83.252008,0.036787763,0.039152585,0.033991724
pin_32,Lake Erie,41.744643,-83.238942,0.027343201,0.022205105,0.024782686
pin_33,Lake Erie,41.744643,-83.225877,0.029647728,0.020376038,0.019614452
pin_34,Lake Erie,41.757708,-83.199745,0.018743616,0.01618238,0.025385804
